session_id,charging_minutes,work_energy_kwh,n_events,gap_energy_kwh,max_duration_min,has_event
2_39_123_23_2019-06-25 16:11:09.588425,81,267.78025833333334,4.0,1.361126388888889,20.0,True
2_39_123_23_2019-06-26 16:52:32.469314,57,175.2685943627451,1.0,0.8486219812091504,27.0,True
2_39_123_23_2019-06-27 15:52:46.564037,90,296.47532303921565,2.0,1.838292949346405,46.0,True
2_39_123_23_2019-06-28 18:59:06.925653,24,115.0125266025641,0.0,0.0,0.0,False
2_39_123_23_2019-07-01 16:58:48.537719,49,127.43749117647059,3.0,0.7840089174836602,7.0,True
2_39_123_23_2019-07-02 16:21:50.124525,101,324.2466862502693,7.0,1.759265359881132,15.0,True
2_39_123_23_2019-07-03 16:53:18.952665,76,232.54933269500106,3.0,1.396328758798391,18.0,True
2_39_123_23_2019-07-08 16:53:43.665426,45,115.8810260270775,2.0,0.7670152933395581,14.0,True
2_39_123_23_2019-07-09 16:08:40.640262,111,365.215139654708,1.0,0.61840397875817,18.0,True
2_39_123_23_2019-07-10 16:57:56.495579,131,839.7031845588235,1.0,0.5181858333333333,6.0,True
2_39_123_23_2019-07-11 18:29:42.294810,33,47.72714119801767,0.0,0.0,0.0,False
2_39_123_23_2019-07-11 21:07:55.916970,64,206.23678627720318,3.0,1.1698213876768657,19.0,True
2_39_123_23_2019-07-11 22:51:29.698069,70,234.94810263951734,2.0,0.9806976540616247,25.0,True
2_39_123_23_2019-07-12 22:11:26.252856,157,1050.8289746732025,0.0,0.0,0.0,False
2_39_123_23_2019-07-13 01:52:34.766171,31,49.794225,0.0,0.0,0.0,False
2_39_123_23_2019-07-15 17:32:43.056347,162,495.6453978874883,2.0,0.5932383496732027,13.0,True
2_39_123_23_2019-07-16 18:47:00.677011,31,48.10896666666666,0.0,0.0,0.0,False
2_39_123_23_2019-07-17 17:23:52.007069,153,959.5361504084967,0.0,0.0,0.0,False
2_39_123_23_2019-07-18 16:33:58.015620,128,807.7712352941176,1.0,0.588101388888889,7.0,True
